incident_type,state_name,incident_year,month,damageCategory,avg_month,total_amount
Severe Ice Storm,South Carolina,2014,March,Debris Removal,8,192515037
Severe Ice Storm,Oklahoma,2010,March,Public Utilities,5,71401043
Severe Ice Storm,North Carolina,2014,March,Debris Removal,3,35408328
Severe Ice Storm,Georgia,2014,March,Debris Removal,3,29309934
Severe Ice Storm,Oklahoma,2010,March,Roads and Bridges,6,25543682
Severe Ice Storm,South Carolina,2014,March,Public Utilities,3,16376940
Severe Ice Storm,Tennessee,2015,April,Public Utilities,3,16053599
Severe Ice Storm,Tennessee,2015,April,Debris Removal,3,15934924
Severe Ice Storm,Oklahoma,2015,December,Debris Removal,10,15796788
Severe Ice Storm,Georgia,2014,March,Public Utilities,3,11819856
Severe Ice Storm,Oklahoma,2015,December,Public Utilities,9,10750253
Severe Ice Storm,Kansas,2017,February,Public Utilities,6,9401293
Severe Ice Storm,Oklahoma,2010,March,Debris Removal,4,9369962
Severe Ice Storm,Oklahoma,2010,March,Protective Measures,3,9093821
Severe Ice Storm,Georgia,2015,April,Public Utilities,2,6226048
Severe Ice Storm,Arkansas,2013,January,Debris Removal,2,5554515
Severe Ice Storm,South Carolina,2014,March,Protective Measures,5,4757493
Severe Ice Storm,Georgia,2014,March,Protective Measures,4,4747430
Severe Ice Storm,North Carolina,2014,March,Public Utilities,3,4261458
Severe Ice Storm,Vermont,2014,January,Public Utilities,5,4062324
Severe Ice Storm,Tennessee,2014,April,Debris Removal,2,3907487
Severe Ice Storm,Georgia,2015,April,Debris Removal,3,3760237
Severe Ice Storm,Tennessee,2014,April,Public Utilities,1,3429098
Severe Ice Storm,Kansas,2017,February,Debris Removal,3,2681581
Severe Ice Storm,Arkansas,2014,January,Public Utilities,2,2372679
Severe Ice Storm,Vermont,2014,January,Debris Removal,4,2179740
Severe Ice Storm,Arkansas,2014,January,Debris Removal,5,2160982
Severe Ice Storm,Arkansas,2013,January,Public Utilities,2,2107205
Severe Ice Storm,Oklahoma,2010,March,State Management,12,2094534
Severe Ice Storm,South Carolina,2014,March,State Management,36,1948402
Severe Ice Storm,Oklahoma,2015,December,Roads and Bridges,17,1907221
Severe Ice Storm,Tennessee,2015,April,Protective Measures,5,1124961
Severe Ice Storm,Tennessee,2015,April,Roads and Bridges,4,882326
